Time,Humidity,Temperature
367561,60.0,17.0
368586,60.0,17.0
369586,60.0,17.0
370611,60.0,17.0
371611,60.0,17.0
372636,60.0,17.0
373636,60.0,17.0
374661,60.0,17.0
375661,60.0,17.0
376686,60.0,17.0
377686,60.0,17.0
378711,60.0,17.0
379711,60.0,17.0
380736,60.0,17.0
381736,60.0,17.0
382761,60.0,17.0
383761,60.0,17.0
384786,60.0,17.0
385786,60.0,17.0
386811,60.0,17.0
387811,59.0,17.0
388836,59.0,17.0
389836,59.0,17.0
390861,59.0,17.0
391861,59.0,17.0
392886,59.0,17.0
393886,59.0,17.0
394911,59.0,17.0
395911,59.0,17.0
396936,59.0,17.0
397936,59.0,17.0
398961,59.0,17.0
399961,59.0,17.0
400986,59.0,17.0
401986,59.0,17.0
403011,59.0,17.0
404011,59.0,17.0
405036,59.0,17.0
406036,59.0,17.0
407061,59.0,17.0
408061,59.0,17.0
409086,59.0,17.0
410086,59.0,17.0
411111,59.0,17.0
412111,59.0,17.0
413136,59.0,17.0
414136,59.0,17.0
415161,59.0,17.0
416161,59.0,17.0
417186,59.0,17.0
418186,59.0,17.0
419211,59.0,17.0
420211,59.0,17.0
421236,59.0,17.0
422236,59.0,17.0
423261,59.0,17.0
424261,59.0,17.0
425286,59.0,17.0
426286,59.0,17.0
427311,59.0,17.0
428311,59.0,17.0
429336,59.0,17.0
430336,59.0,17.0
431361,59.0,17.0
432361,59.0,17.0
433386,59.0,17.0
434386,59.0,17.0
435411,59.0,17.0
436411,59.0,17.0
437436,59.0,17.0
438436,59.0,17.0
439461,59.0,17.0
440461,59.0,17.0
441486,59.0,17.0
442486,59.0,17.0
443511,59.0,17.0
444511,59.0,17.0
445536,59.0,17.0
446536,59.0,17.0
447561,59.0,17.0
448561,59.0,17.0
449586,59.0,17.0
450586,59.0,17.0
451611,59.0,17.0
452611,58.0,17.0
453636,58.0,17.0
454636,58.0,17.0
455661,58.0,17.0
456661,58.0,17.0
457686,58.0,17.0
458686,58.0,17.0
459711,58.0,17.0
460711,58.0,17.0
461736,58.0,17.0
462736,58.0,17.0
463761,58.0,17.0
464761,58.0,17.0
465786,58.0,17.0
466786,58.0,17.0
467811,58.0,17.0
468811,58.0,17.0
469836,58.0,17.0
470836,58.0,17.0
471861,58.0,17.0
472861,58.0,17.0
473886,58.0,17.0
474886,58.0,17.0
475911,58.0,17.0
476911,58.0,17.0
477936,58.0,17.0
478936,58.0,17.0
479961,58.0,17.0
480961,58.0,16.9
481986,58.0,16.9
482986,58.0,17.0
484011,58.0,17.0
485011,58.0,17.0
486036,58.0,17.0
487036,58.0,16.9
488061,58.0,16.9
489061,58.0,17.0
490086,58.0,17.0
491086,58.0,16.9
492111,58.0,16.9
493111,58.0,16.9
494136,58.0,16.9
495136,58.0,16.9
496161,58.0,16.9
497161,58.0,16.9
498186,58.0,16.9
499186,58.0,16.9
500211,58.0,16.9
501211,58.0,16.9
502236,58.0,16.9
503236,58.0,16.9
504261,58.0,16.9
505261,58.0,16.9
506286,58.0,16.9
507286,58.0,16.9
508311,58.0,16.9
509311,58.0,16.9
510336,58.0,16.9
511336,58.0,16.9
512361,58.0,16.9
513361,58.0,16.9
514386,58.0,16.9
515386,58.0,16.9
516411,58.0,16.9
517411,58.0,16.9
518436,58.0,16.9
519436,58.0,16.9
520461,58.0,16.9
521461,58.0,16.9
