,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
166,Apricots,1 cup,250,220.0,2,0,0.0,1.0,57.0,Fruits
167,Dried uncooked,1/2 cup,75,220.0,4,0,0.0,1.0,50.0,Fruits
168,Fresh,3 med.,114,55.0,1,0,0.0,0.7,14.0,Fruits
169,Nectar or juice,1 cup,250,140.0,1,0,0.0,2.0,36.0,Fruits
170,Avocado,1/2 large,108,185.0,2,18,12.0,1.8,6.0,Fruits
171,Banana,1 med.,150,85.0,1,0,0.0,0.9,23.0,Fruits
172,Blackberries,1 cup,144,85.0,2,1,0.0,6.6,19.0,Fruits
173,Blueberries,1 cup,250,245.0,1,0,0.0,2.0,65.0,Fruits
174,Cantaloupe,1/2 med.,380,40.0,1,0,0.0,2.2,9.0,Fruits
175,Cherries,1 cup,257,100.0,2,1,0.0,2.0,26.0,Fruits
176,Fresh raw,1 cup,114,65.0,1,0,0.0,0.8,15.0,Fruits
177,Cranberry sauce sweetened,1 cup,277,530.0,0,0,0.0,1.2,142.0,Fruits
178,Dates,1 cup,178,505.0,4,0,0.0,3.6,134.0,Fruits
179,Figs,2,42,120.0,2,0,0.0,1.9,30.0,Fruits
180,Fresh raw figs,3 med.,114,90.0,2,0,0.0,1.0,22.0,Fruits
181,figs Canned with syrup ,3,115,130.0,1,0,0.0,1.0,32.0,Fruits
182,Fruit cocktail canned,1 cup,256,195.0,1,0,0.0,0.5,50.0,Fruits
183,Grapefruit sections,1 cup,250,170.0,1,0,0.0,0.5,44.0,Fruits
184,"Grapefruit fresh 5"" diameter",1/2,285,50.0,1,0,0.0,1.0,14.0,Fruits
185,Grapefruit juice,1 cup,250,100.0,1,0,0.0,1.0,24.0,Fruits
186,Grapes,1 cup,153,70.0,1,0,0.0,0.8,16.0,Fruits
187,European as Muscat Tokay,1 cup,160,100.0,1,0,0.0,0.7,26.0,Fruits
188,Grape juice,1 cup,250,160.0,1,0,0.0,0.0,42.0,Fruits
189,Lemon juice,1/2 cup,125,30.0,0,0,0.0,0.0,10.0,Fruits
190,Lemonade concentratefrozen,6-oz. can,220,430.0,0,0,0.0,0.0,112.0,Fruits
191,Limeade concentrate frozen,6-oz. can,218,405.0,0,0,0.0,0.0,108.0,Fruits
192,Olives large,10,65,72.0,1,10,9.0,0.8,3.0,Fruits
193,OlivesRipe,10,65,105.0,1,13,12.0,1.0,1.0,Fruits
194,"Oranges 3"" diameter",1 med.,180,60.0,2,0,0.0,1.0,16.0,Fruits
195,Orange juice,8 oz. or,250,112.0,2,0,0.0,0.2,25.0,Fruits
196,Frozen ,6-oz. can,210,330.0,2,0,0.0,0.4,78.0,Fruits
197,Papaya,1/2 med.,200,75.0,1,0,0.0,1.8,18.0,Fruits
198,Peaches,1 cup,257,200.0,1,0,0.0,1.0,52.0,Fruits
199,Fresh raw,1 med.,114,35.0,1,0,0.0,0.6,10.0,Fruits
200,Pears,1 cup,255,195.0,1,0,0.0,2.0,50.0,Fruits
201,Raw 3 by 2V,1 med.,182,100.0,1,1,0.0,2.0,25.0,Fruits
202,Persimmons,1 med.,125,75.0,1,0,0.0,2.0,20.0,Fruits
203,Pineapple,1 large slice,122,95.0,0,0,0.0,0.4,26.0,Fruits
204,Pineapple Crushed,1 cup,260,205.0,1,0,0.0,0.7,55.0,Fruits
205,Raw diced,1 cup,140,75.0,1,0,0.0,0.6,19.0,Fruits
206,Pineapple juice,1 cup,250,120.0,1,0,0.0,0.2,32.0,Fruits
207,Plums,1 cup,256,185.0,1,0,0.0,0.7,50.0,Fruits
208,"Raw 2"" diameter",1,60,30.0,0,0,0.0,0.2,7.0,Fruits
209,Prunes,1 cup,270,300.0,3,1,0.0,0.8,81.0,Fruits
210,Prune juice,1 cup,240,170.0,1,0,0.0,0.7,45.0,Fruits
211,Raisins,1/2 cup,88,230.0,2,0,0.0,0.7,82.0,Fruits
212,Raspberries,1/2 cup,100,100.0,0,0,0.0,2.0,25.0,Fruits
213,Raw red,3/4 cup,100,57.0,0,0,0.0,5.0,14.0,Fruits
214,Rhubarb sweetened,1 cup,270,385.0,1,0,0.0,1.9,98.0,Fruits
215,Strawberries,1 cup,227,242.0,1,0,0.0,1.3,60.0,Fruits
216,Raw,1 cup,149,54.0,0,0,0.0,1.9,12.0,Fruits
217,Tangerines,I med.,114,40.0,1,0,0.0,1.0,10.0,Fruits
218,Watermelon,1 wedge,925,120.0,2,1,0.0,3.6,29.0,Fruits
219,Biscuits,1,38,130.0,3,4,3.0,0.0,18.0,Starchy
220,Bran flakes,1 cup,25,117.0,3,0,0.0,0.1,32.0,Starchy
221,Bread cracked wheat,1 slice,23,60.0,2,1,1.0,0.1,12.0,Starchy
222,Rye,1 slice,23,55.0,2,1,1.0,0.1,12.0,Starchy
223,White 20 slices or,1-lb. loaf,454,1225.0,39,15,12.0,9.0,229.0,Starchy
224,Whole-wheat,1-lb. loaf,454,1100.0,48,14,10.0,67.5,216.0,Starchy
225,Whole-wheat,1 slice,23,55.0,2,1,0.0,0.31,11.0,Starchy
226,Corn bread ground meal,1 serving,50,100.0,3,4,2.0,0.3,15.0,Starchy
227,Cornflakes,1 cup,25,110.0,2,0,0.0,0.1,25.0,Starchy
228,Corn grits cooked,1 cup,242,120.0,8,0,0.0,0.2,27.0,Starchy
229,Corn meal,1 cup,118,360.0,9,4,2.0,1.6,74.0,Starchy
230,Crackers,2 med.,14,55.0,1,1,0.0,0.0,10.0,Starchy
231,Soda 2 1/2 square,2,11,45.0,1,1,0.0,0.0,8.0,Starchy
232,Farina,1 cup,238,105.0,3,0,0.0,8.0,22.0,Starchy
233,Flour,1 cup,110,460.0,39,22,0.0,2.9,33.0,Starchy
234,Wheat (all purpose),1 cup,110,400.0,12,1,0.0,0.3,84.0,Starchy
235,Wheat (whole),1 cup,120,390.0,13,2,0.0,2.8,79.0,Starchy
236,Macaroni,1 cup,140,155.0,5,1,0.0,0.1,32.0,Starchy
237,Baked with cheese,1 cup,220,475.0,18,25,24.0,0.0,44.0,Starchy
238,Muffins,1,48,135.0,4,5,4.0,0.0,19.0,Starchy
239,Noodles,1 cup,160,200.0,7,2,2.0,0.1,37.0,Starchy
240,Oatmeal,1 cup,236,150.0,5,3,2.0,4.6,26.0,Starchy
241,"Pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Starchy
